destination,category,user_url,username,stars,time,text
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/100439647092883684860/reviews?hl=en,MAMITAKA,4,8 years ago,"The biggest hospital in yogyakarya. This place serve many kind, almost all, of health care service. This place is very crowded during operational hours. When you are visiting this hospital, it is very difficult to have parking area dor your car. It is very recommended to visit this hospital by public transport or online taxi or online bike. This place has 24 hour emergency service."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/109555295906032703605/reviews?hl=en,Natrila Femi,1,7 years ago,"Very disappointed. Staffs, both nurse and doctors, are very slow, unprofessional, and disrespectful to the patients. Let me explain why (disclaimer: this might not apply to different polyclinics, but hey, let's not discount my experience).

I went to obgyn clinic to get a USG and treatment for my ovarian cyst. I've registered online 5 days before and had an appointment with a doctor. When I came to re-register myself in the desk, the staff denied my reservation and instead asked me to register the regular one. Okay, I can accept this if he gave me an adequate explanation, which of course, he didn't. Instead, he said that the doctor I had an appointment to ""is not working there again"". Very ridiculous because I can see the nametag of the doctor in the hallway.

Fast forward, I've registered a regular one and waited for my turn. It took almost 5 hours to get me done there. Here's the recap:
09.30 - 10.00 : waiting for checkup by the nurse
10.00 - 13.00 : after waiting for 3 hours, finally consulted with the doctor
14.00 : USG finally taken

Clearly, the staffs are very disrespectful with the patients' time. At the doctor's room, I was also treated badly. The doctor who assigned to check on me suddenly leave without saying a word neither to me or his colleagues in his room (he could say to them to at least take care of me, i.e.). This didn't happen only to me. Another lady who already lying in the bed also had to wait for long because the doctor who was taking care of her suddenly leave.

These all are very disappointing for a big hospital like Sardjito. Please, educate the doctors better on treating the patients better. I was also saddened by the fact that in that waiting room, there were quite a few old women waiting in wheelchair for their turn FOR HOURS. Please, fix your work better and change/revamp the work distribution to be more effective.

All in all, I'll not go here again. I better go to another hospital who knows to appreciate my time.

TL;DR : don't go here if you are the kind of person who really appreciate your time.

Also, a moral value: if you are already here, starting to be upset with the system, wondering if other people had experienced the same as you do and thus scroling through GMaps review, don't be afraid to question the staff everything you need to know as clear as possible. Surely, it was my mistake too who was easily being tossed around here and there."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/115211615731408120693/reviews?hl=en,"Catoer BP, SKep, Ns.",5,3 years ago,"A large capacity-south-region-Indonesian-referral hospital with multi specialistic services. Also a large teaching hospital for medical and nursing students,and also for medical specialists. Have to be keen in finding parking spots that nearest to the service area needed. I spend few years here when studying for nursing baccalureate."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102435781318438638270/reviews?hl=en,Devan Saputra,1,3 years ago,"I need 4 hours in order to wait the appointment, from 9 am to 12 am only 3 patients who are called in the doctor' room. Then I also need 3 hours later to get the medicine. Could you please be professional? Your service is very bad, much of errors, arrogan staff and confusing system."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106349993322290995446/reviews?hl=en,Rizky Endah,4,8 years ago,"One of the biggest hospital in Yogyakarta. I hope every year this hospital improve their system, service, technology,  and many more for better future. Not only when accreditation but every time. Forever."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113831632982354468480/reviews?hl=en,Purplish Amora,5,6 years ago,"RSUP Dr. Sardjito has a good progression in service, the doctors and nurses are good in their behavior while in online registration is a good solution for ""visitors queued"" that makes medical service ran well... RSUP Dr. Sardjito has been tried to figured out their chronic public service... Keep improved it !!"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106689652801185604111/reviews?hl=en,Meovv,1,6 years ago,"bad service! we come early morning from 6. just want to see a doctor until 12 o'clock almost 1 pm not yet served, this hospital is the same as RSCM Jakarta!
very very poor service!"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106780836603684079885/reviews?hl=en,tiara sas dhewanti,5,6 years ago,"Sardjito hospital is the bigest hospital in Yogyakarta. There are many good doctor and medical staff.  Recomended for your general check up and your healthy service. Sarjdito Hospital is clean and modern place  in medical service. Trust me, 😀 …"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116758755284171788579/reviews?hl=en,Cinoow,1,3 years ago,"at that time I used BPJS, after the BPJS administration was taken care of they kicked you out. they will not take care of you, they only want money. shthd"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102727339026455738935/reviews?hl=en,Aura Dhamira,1,4 years ago,"It's hard to get a parking space, the queue is too long, I waited for more than 5 hours. Wasn't sure whether i was skipped or not, when i asked the staff they said it's not my turn yet so 🙄

Update: They did skip my turn, they couldn't find my form 🙃 and one of the staff blame me when i complained about waiting for so long, she said ""why didn't you ask earlier?"" tf"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113486132969136624527/reviews?hl=en,Raymond Sitanaja,5,6 months ago,👍🏻👍🏻👍🏻 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106062993311101738893/reviews?hl=en,Adrian Wardhana,5,3 years ago,"Well equipped and well staffed hospital. Service is impeccable, staff is professional and well trained. It is clean, well maintained, Parking is plentiful."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/101342089563387831028/reviews?hl=en,Marlita Putri Ekasari,5,a year ago,A national hospital of the ministry of health in Indonesia which is located near Universitas Gadjah Mada.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/101479057101863349949/reviews?hl=en,Ardifian Suwarno,5,7 years ago,More hospital like this we needed in indonesia
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/101038160491521429356/reviews?hl=en,Vina Sectiana,4,9 years ago,"Most known hospital in Jogjakarta. However, bureaucracy is a little bit complicated here. The queuing system could be integrated better."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/104663600070256917171/reviews?hl=en,Tonny Yohannes,4,6 years ago,"Nice and clean public hosital. However, they need to get thing more simple so there wouldn't to many queue"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116511675004378935766/reviews?hl=en,Waqqas Hanafi,3,9 years ago,Lots of good doctors but sadly the tools/instruments they use are outdated and inaccurate. Probably the best hospital in Jogja.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/105305842762460412466/reviews?hl=en,Miftahul Habib,4,10 years ago,"one of the best Hospital in town. Easy to access, but sometimes too crowded for an emergency situation, because near a university and a food truck seller."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/104403765122778432938/reviews?hl=en,Ryan Andhika Pratama,3,8 years ago,The parking lot is not able to accomodate all the car. I did re-enter the parking lot 4 times and found out that there was still no empty space.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/101781729920522722817/reviews?hl=en,satria pasir,5,5 years ago,The ultimate referral hospital in Jogja and Southern part of Jateng. But it is really difficult to get parking here.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/100589181880220199658/reviews?hl=en,Al Kusuma,2,10 years ago,"slow, parhetic and unprofessional. pls do not assign junior doctors to handle and manage seriuos illness. what your specialist do? der"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/111462329859516574193/reviews?hl=en,menip,1,3 years ago,"If I'll ever be hospitalized again, this place would be the bottom of the list. Great doctors with poor service and facility, uncanny and uncommon protocols"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/117346976239947781851/reviews?hl=en,Bayu Wicaksono,3,9 years ago,"it takes a million years only to get a flu examination. i wait for too long, but i can't leave that bcause i already pay it in the front office. it sucks man"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/109326595716487621086/reviews?hl=en,Globalweb development,1,11 years ago,"The worst hospital in Yogyakarta for sure, not recommended. The doctors are like little kids, if you ask simle questions. Terrible, really terrible"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/117507491354521936813/reviews?hl=en,Aurelia,4,7 years ago,Its a good place for medical treatment. The doctor's good. The nurses was nice and so on.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/105488736229943210128/reviews?hl=en,Melinda Asmoro,5,6 years ago,"I am satisfied with RSUP Dr Sardjito Hospital service, the nurses and doctors are friendly, smart, and trustworthy 👍 …"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/103197617218173616262/reviews?hl=en,Brenda M,4,Edited 8 years ago,I just stop in this place for shalat maghrib at mosque of hospital.  the mosque is quite huge and artistic
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/111357975899450834954/reviews?hl=en,d n19,5,8 years ago,"Good services, clean areas and professional staffs make this hospital one of the best in the city."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/110512634282779301203/reviews?hl=en,Otsuke Ueki,2,4 years ago,"Please do care about parking from now... It's just gonna wasting time, fuel and energy."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102002769112877195933/reviews?hl=en,Dirga PUMA,4,5 years ago,Niceee
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/118253844857306452454/reviews?hl=en,Iqbal Andri Makarim,5,a year ago,😬 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102775459051907007439/reviews?hl=en,Hans Tjahyono,1,2 years ago,2 times weent here. Waiting for very long with no clear queue
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/111935027789193572424/reviews?hl=en,ade mashuri,5,13 years ago,IGD with excellent 5 star hotel service and handled by specialist docters
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/114855578325081474669/reviews?hl=en,Jetti trijuni,4,8 years ago,It is difficult to park the car.. it is still in the renovation for parking; but we need to park the car
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/105420336391136964276/reviews?hl=en,Rena Nurul Ummah,5,8 years ago,good facilities but the service should be improved
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113024004408847094178/reviews?hl=en,Maryah Ulfah,5,6 years ago,"Clean and large room, good service, great facilities."
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/108256612446519792633/reviews?hl=en,zulfian amrullah,3,9 years ago,"blood donation room, fullhouse tonight!"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102238651228833807936/reviews?hl=en,Kukuh KuRa,3,8 years ago,Standard service
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113718408800720968931/reviews?hl=en,Rna Wahyu,5,2 years ago,One of the best hospitals in Indonesia.
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116699090199211420593/reviews?hl=en,fathna sa'adati,4,7 years ago,health care service
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/108389668400613047488/reviews?hl=en,Indri Widiya,5,11 months ago,goodddd
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116721070876649413103/reviews?hl=en,Alessandro Alfieri,5,11 months ago,Ok
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/107768325679554935405/reviews?hl=en,Janatarum Sri Handono,5,6 years ago,"Referral hospital, thus the equipment and service is very quick"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113819155349667884571/reviews?hl=en,Handy Darmawan,5,a year ago,One of the best hospital in Indonesia
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113524962459926063729/reviews?hl=en,Ardna De Ruktaf,5,4 months ago,Great Hospital
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/104285555441060202265/reviews?hl=en,Pramudya Arif Dwijanarko,3,8 years ago,"one of the biggest hospital in town, but the service are just so so"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106902537800049153516/reviews?hl=en,Halfish Channel,4,7 years ago,"Dr. Sardjito hospital is public hospital at Yogyakarta, good hospital, good medical"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113357976142491290946/reviews?hl=en,Suryo Adi Wibowo,5,a year ago,Ok
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/103091508676863335476/reviews?hl=en,Anisa Ismaya,4,2 years ago,Hjch hub
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/107109888695460371411/reviews?hl=en,Azzam Ghozi,4,9 years ago,Only IGD open for 24 hrs
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/111850606944162721744/reviews?hl=en,Beny Gae,5,a year ago,What a nice place to study
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/107109107313983897574/reviews?hl=en,ririn safitri,4,9 years ago,👍 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102430047467062115723/reviews?hl=en,james cyne,5,13 years ago,Chek up
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113462102455825822723/reviews?hl=en,Peeineentok 11,5,4 years ago,Good job
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/103378269217190860000/reviews?hl=en,Ali Shokhiyi,5,5 years ago,"Friendly, polite, and helpful staff"
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/103712205754853269949/reviews?hl=en,Baderu Ohhyess,3,9 years ago,ohh wow
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/117004689464872056664/reviews?hl=en,Nurhadi Lulus Prabowo,5,2 years ago,Joss
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/105312236834938832404/reviews?hl=en,Sjamsul Arifin,5,3 years ago,Top 👍 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/115988929812197957885/reviews?hl=en,Sefa Eka,5,3 years ago,Good 👍 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/104295059727507050137/reviews?hl=en,Lincak Cafe,4,8 years ago,The bigest Hospital in Jogja
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/115581785594661028473/reviews?hl=en,Daniel Sukamto,1,a year ago,Worst hospital ever...
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113442829084508973239/reviews?hl=en,Rini Sunaring Putri,5,7 years ago,My second Home .......😍keren! …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/114578223186637300719/reviews?hl=en,Pablo Esco,5,a year ago,👍🏼 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/114949028213643792892/reviews?hl=en,Then Must Tom Tom,5,4 years ago,Super josh
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/104087089908078444322/reviews?hl=en,Eria Riski,3,6 years ago,Good!
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/109393255893876330435/reviews?hl=en,Eri Lapas,5,9 years ago,Pelayanannya is the best st st
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/114889150155209522124/reviews?hl=en,Datu Respatika,5,3 years ago,Top
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/115178485375712150426/reviews?hl=en,Pris,4,6 years ago,ok
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/110264329234286115871/reviews?hl=en,Soim Prono,4,9 years ago,Ok
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106212770599320342638/reviews?hl=en,Setya Nugraha,5,2 years ago,Save my live
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/117958324884333157876/reviews?hl=en,Riyadi Sriharyani,5,4 years ago,Nice
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116307743416989688567/reviews?hl=en,Mas Piang,4,8 years ago,Learning and helping others
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/112569987929500317349/reviews?hl=en,Sofian F Rifandi,5,5 years ago,Good
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106611374018278135241/reviews?hl=en,Eka Amalia,5,3 years ago,👍👍 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/118380092540780967339/reviews?hl=en,Ahmad Fauzi D,5,4 years ago,Best
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/107874627621834433656/reviews?hl=en,Deffi Alfiani Mulyaningrum,5,3 years ago,👍👍👍 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/106363492963857833230/reviews?hl=en,Dwi Rohayati,1,9 years ago,everything is slow respond
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/110696598775401365741/reviews?hl=en,Risma Martha WD.,4,a year ago,Always FULL
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102992977175113741194/reviews?hl=en,Nikho Sanjaya,5,10 years ago,Check....
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/108230322499187950850/reviews?hl=en,Charles Evelyn,2,6 years ago,Co-Ass
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/118184587402690170556/reviews?hl=en,Antonius Tri K,3,9 years ago,Feel sad for the administration
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/116005356003925615295/reviews?hl=en,Kinasih Bayu Nurseto,5,7 years ago,Excellent services..
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/102493392184008242912/reviews?hl=en,Teguh Arifianto,5,4 years ago,Hospital
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/118408500348437752610/reviews?hl=en,Dea Saiputri,5,6 years ago,The real green hospital💙 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/117070334692641355656/reviews?hl=en,Mochammad Sugiono,5,3 years ago,the best lah
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/109545308010560386494/reviews?hl=en,Galih Pevi,5,7 years ago,👍👍👍👍 …
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/110708553771343687152/reviews?hl=en,Elang Broadcast,4,3 years ago,good service
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/108887206365634570632/reviews?hl=en,Sam Hidaya,5,11 years ago,Sip
Dr. Sardjito General Hospital,Hospital,https://www.google.com/maps/contrib/113189053887134433654/reviews?hl=en,Khairuman,5,10 years ago,Really cool
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/117218309374584140929/reviews?hl=en,Vivian Lucia,5,3 months ago,"I was hospitalized for about 3 days for my wisdom teeth surgery… I was admitted to Elizabeth building and the nurses were SUPER kind.. they were v helpful with what I needed…

The food tasted good, altho I’ve lost my teeth, but I can still taste good food 😅😆…

And you can clearly pay with BPJS and got 0 discrimination.. kudos to Panti Rapih. Jesus bless yall🍀🌞"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/103608701092256397035/reviews?hl=en,Gracia M.A.,5,3 months ago,"Nggak boleh ambil foto di dalam gedung. Not that I complain about it, it's regulated here. But the place is generally quite luxurious hospital without being expensive. Love the experience and convenience being outpatient here. Nice hospitality, management, services 💕 my favorite hospital …"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/115111756010218709239/reviews?hl=en,D. F.,5,7 months ago,"I accompanied my friend who got sick and was treated here, and overall the experience was really good. The hospital is clean, comfortable, and well-maintained. The room was clean and had good air conditioning, which made it comfortable to stay in.

The registration and check-up process went smoothly without long waiting times. The staff, from security to nurses and doctors, were friendly and helpful, which made everything feel organized and easy. Parking was easy to find, and there are also food stalls and a minimarket inside the hospital, which is very convenient for visitors or families waiting.

Overall, it’s a pleasant and reliable hospital with good facilities and great service."
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/108134357929877471449/reviews?hl=en,Farras Hanif,5,Edited a year ago,"The hospital is nice and has many skilled and experienced doctors and nurses. The VIP rooms for inpatients are quite comfortable, but they do not provide slippers. The food is also good.

In VIP, which consists of only one patient, there should be an option to not display the Jesus statue in front of the bed because it is somewhat strange to pray in front of Him when I pray to a different God. 😂"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/103034164472142893001/reviews?hl=en,Irene Susianto,5,9 months ago,"Very professional and friendly staff. Very good service. Friendly and informative doctors and staff.
Place is huge and very clean, with some food stall inside and lots of food stalls outside as well."
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/112640934962164288321/reviews?hl=en,Mark Johnston,5,4 months ago,"The staff here is wonderfull
Very kind and attentive.
We were no sooner in the door, and a gentleman came with a wheel chair to help.
Non stop care...all with smiles and care.
Thank you for helping us get better!!
Mark and Pavlina"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/115589419459103635337/reviews?hl=en,Aganto Seno,5,6 years ago,I would say this is the best hospital in Yogyakarta for my family. It has very clean rooms and cozy enough. It also has many garden outside that could calm you down. The staffs including the doctors and nurses are very friendly and helpful. Just ask for help and they will help you out. This hospital also takes BPJS with the same services. There are also food stores which provides various options of meals and drinks.
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/114152507876552567371/reviews?hl=en,Bernardia Vitri Arumsari,5,6 years ago,"Panti Rapih Hospital new building is very modern and felt like Japanese building. I like it when they do not alter the original Onder de Bogen building and decide to build a brand new building beside. When it's still under the construction, I took a photograph of it in the morning and my lecturer in Universitas Gadjah Mada thought I was just coming from big city like Jakarta or Surabaya in the afternoon. It's just very funny. Many of my relatives get theraphy and other medical service here while some of them died here too. Please keep doing the best for your patients. God Bless Panti Rapih Hospital!"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/108190556758535059519/reviews?hl=en,Lelyaja23,5,3 years ago,"My family's favorite hospital. The service is really good, friendly, fast and responsive. The environment is also really clean and tidy. The doctors and nurses are super friendly, kind and respond quickly. This is really cool. This afternoon my sister was hospitalized in this hospital. The service is really satisfying. From the service of taking care of the health facilities, everything is really easy and fast. I LOVE IT 'PANTI RAPIH HOSPITAL' 👍🏻😊"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/108365482980983851382/reviews?hl=en,Ajeng Veran,5,8 years ago,"My university visits (residency) to this hospital one week ago. We were warmly welcomed. His ministry is great. We were impressed by the cleanliness, tidiness, and the staff is friendly. Thank you for Panti Rapih hospital."
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/115066789289463097076/reviews?hl=en,Muzhar,5,5 years ago,Very friendly. They service us with pleasure and patience. I came for Rapid test. The drive thru service is so good. Although the test results came out 2 till 3 hours after got the test. But it’s worthy. The price is not too bad. Thanks for the Service 👍🏼 …
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/106893452406008273580/reviews?hl=en,Ike Burandt,5,11 months ago,"Had to come here because my partner experienced really bad back pain. The hospital doesn't feel like a hospital, but in a good way. The gardens are beautiful, and the staff was amazing. Big thanks to Yoshy! She helped us through the process since we don't speak Indonesian. The service and friendliness were outstanding!"
Panti Rapih Hospital,Hospital,https://www.google.com/maps/contrib/116289666291798602125/reviews?hl=en,Sébastien Aurillon,5,3 years ago,"Never fun to be so far from home and yet sick like a dog! After 3 days stuck in bed at the hotel a local doc suggested I go to the hospital.

Found this one on some expats websites with relatively good reviews, so I went straight to the ER (old building not the new ones as it’s easy to get lost) and I was not disappointed: friendly staff, good doctor, they spoke English and when they couldn’t we used translator apps.

A couple of hours later, I had an IV and some meds and was sent back to the hotel.

So yeah if you’re unlucky enough to find yourself not feeling well in Yogyakarta this is a good place to go."
